1; [0] 000,000; [1] 000,001; [4] 000,004
2; [0] 000,000; [1] 000,001; [6] 000,006
3; [0] 000,000; [1] 000,001; [7] 000,007
4; [0] 000,000; [0] 000,000; [9] 000,009
5; [0] 000,000; [1] 000,001; [8] 000,008
6; [1] 000,001; [0] 000,000; [9] 000,009
7; [0] 000,000; [1] 000,001; [11] 000,011
8; [0] 000,000; [2] 000,002; [10] 000,010
9; [0] 000,000; [1] 000,001; [10] 000,010
10; [0] 000,000; [1] 000,001; [12] 000,012
11; [0] 000,000; [2] 000,002; [13] 000,013
12; [0] 000,000; [1] 000,001; [14] 000,014
13; [1] 000,001; [1] 000,001; [16] 000,016
14; [0] 000,000; [2] 000,002; [17] 000,017
15; [0] 000,000; [2] 000,002; [21] 000,021
16; [0] 000,000; [3] 000,003; [21] 000,021
17; [1] 000,001; [2] 000,002; [21] 000,021
18; [0] 000,000; [2] 000,002; [21] 000,021
19; [0] 000,000; [2] 000,002; [22] 000,022
20; [0] 000,000; [3] 000,003; [21] 000,021
21; [0] 000,000; [2] 000,002; [22] 000,022
22; [0] 000,000; [2] 000,002; [22] 000,022
23; [0] 000,000; [2] 000,002; [24] 000,024
24; [0] 000,000; [3] 000,003; [21] 000,021
25; [0] 000,000; [2] 000,002; [24] 000,024
26; [0] 000,000; [2] 000,002; [22] 000,022
27; [0] 000,000; [2] 000,002; [23] 000,023
28; [1] 000,001; [2] 000,002; [23] 000,023
29; [0] 000,000; [2] 000,002; [23] 000,023
30; [21] 000,021; [3] 000,003; [24] 000,024
